年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位
96,18,流行音樂類-演唱類出版獎,最佳年度歌曲獎,今天妳要嫁給我《太美麗》,伊世代娛樂股份有限公司,伊世代娛樂股份有限公司
96,18,流行音樂類-演唱類出版獎,最佳國語專輯獎,Wake Up,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司
96,18,流行音樂類-演唱類出版獎,最佳台語專輯獎,真的假的！？,典選音樂事業股份有限公司,典選音樂事業股份有限公司
96,18,流行音樂類-演唱類出版獎,最佳客語專輯獎,種樹,大大樹音樂圖像,大大樹音樂圖像
96,18,流行音樂類-演唱類出版獎,最佳原住民語專輯獎,美麗心民謠,參拾柒度製作有限公司,參拾柒度製作有限公司
96,18,流行音樂類-演唱類個人獎,最佳音樂錄影帶導演獎,天下大同《如果沒有你》,馮德倫,新力博德曼音樂娛樂股份有限公司
96,18,流行音樂類-演唱類個人獎,最佳作曲人獎,小情歌《小宇宙》,吳青峰,林暐哲音樂社
96,18,流行音樂類-演唱類個人獎,最佳作詞人獎,種樹《種樹》,鍾永豐,大大樹音樂圖像
96,18,流行音樂類-演唱類個人獎,最佳編曲人獎,造字的人《黑暗之光》,陳主惠,新力博德曼音樂娛樂股份有限公司
96,18,流行音樂類-演唱類個人獎,最佳專輯製作人獎,我想你會變成這樣都是我害的,陳惠婷、許哲毓、林前源、林揮斌、許哲珮,彎的音樂有限公司
96,18,流行音樂類-演唱類個人獎,最佳單曲製作人獎,霍元甲《霍元甲》,周杰倫,阿爾發音樂股份有限公司
96,18,流行音樂類-演唱類個人獎,最佳國語男歌手獎,Baby是我,李玖哲,麻吉娛樂經紀股份有限公司
96,18,流行音樂類-演唱類個人獎,最佳台語男歌手獎,真情味,施文彬,大旗製作股份有限公司
96,18,流行音樂類-演唱類個人獎,最佳國語女歌手獎,舞孃,蔡依林,科藝百代股份有限公司
96,18,流行音樂類-演唱類個人獎,最佳台語女歌手獎,嗆聲,謝金燕,大旗製作股份有限公司
96,18,流行音樂類-演唱類個人獎,最佳客語歌手獎,種樹,林生祥,大大樹音樂圖像
96,18,流行音樂類-演唱類個人獎,最佳原住民語歌手獎,原住民歌謠1,伊吉,金欣唱片音樂帶影視企業有限公司
96,18,流行音樂類-演唱類個人獎,最佳樂團獎,小宇宙,蘇打綠樂團,林暐哲音樂社
96,18,流行音樂類-演唱類個人獎,最佳演唱組合獎,Blue in love,昊恩家家,角頭文化事業股份有限公司
96,18,流行音樂類-演唱類個人獎,最佳新人獎,Over the Way,黃建為,風潮音樂國際股份有限公司
96,18,流行音樂類-演奏類出版獎,最佳專輯獎,送你冬日藍,源動力文化發展事業有限公司,源動力文化發展事業有限公司
96,18,流行音樂類-演奏類個人獎,最佳專輯製作人獎,東清村3號,陳建年,角頭文化事業股份有限公司
96,18,流行音樂類-特別貢獻獎,特別貢獻獎,,張弘毅先生,
96,18,傳統暨藝術音樂類-出版獎,最佳古典音樂專輯獎,方銘健的文藝復興世界,奏鳴曲音樂企業有限公司,奏鳴曲音樂企業有限公司
96,18,傳統暨藝術音樂類-出版獎,最佳民族樂曲專輯獎,如是寧靜－成公亮古琴獨奏專輯,如是我聞文化股份有限公司,如是我聞文化股份有限公司
96,18,傳統暨藝術音樂類-出版獎,最佳戲曲曲藝專輯獎,台灣答嘴鼓－有錢真好,喜瑪拉雅音樂事業股份有限公司,喜瑪拉雅音樂事業股份有限公司
96,18,傳統暨藝術音樂類-出版獎,最佳兒童樂曲專輯獎,你是獨特的寶貝,道聲出版社,道聲出版社
96,18,傳統暨藝術音樂類-出版獎,最佳宗教音樂專輯獎,萬慧天 慧皇國,光正萬教殿,光正萬教殿
96,18,傳統暨藝術音樂類-出版獎,最佳跨界音樂專輯獎,桃山小學的夏天音樂課,海峽文化事業股份有限公司,海峽文化事業股份有限公司
96,18,傳統暨藝術音樂類-個人獎,最佳作曲人獎,夢土－部落之心《夢土－部落之心》,史擷詠,財團法人義美藝術教育基金會
96,18,傳統暨藝術音樂類-個人獎,最佳作詞人獎,春天佇陀位《春天佇陀位》,黃靜雅,風潮音樂國際股份有限公司
96,18,傳統暨藝術音樂類-個人獎,最佳專輯製作人獎,春華秋水,徐伯年,十方樂集
96,18,傳統暨藝術音樂類-個人獎,最佳演唱獎,萬慧天 慧皇國,陸一嬋、倪百聰,光正萬教殿
96,18,傳統暨藝術音樂類-個人獎,最佳演奏獎,莫札特鋼琴作品集,陳必先,上揚國際股份有限公司
96,18,傳統暨藝術音樂類-評審團獎,評審團獎,台灣鐵道聲音紀實,概念音樂有聲出版有限公司,概念音樂有聲出版有限公司
