年度,屆別,獎項類別,獎項名稱,入圍作品,入圍單位/者,報名單位
100,22,出版獎,最佳民族音樂專輯獎,箏藏〈箏樂演奏專輯〉,如是我聞文化股份有限公司,如是我聞文化股份有限公司
100,22,出版獎,最佳民族音樂專輯獎,劉天華十大名曲陳家崑二胡演奏專輯,喜瑪拉雅音樂事業股份有限公司,喜瑪拉雅音樂事業股份有限公司
100,22,出版獎,最佳民族音樂專輯獎,梵天之音─王正平琵琶精選輯,華納國際音樂股份有限公司,華納國際音樂股份有限公司
100,22,出版獎,最佳民族音樂專輯獎,臺灣四季,繆斯藝術文化有限公司,繆斯藝術文化有限公司
100,22,出版獎,最佳戲曲曲藝專輯獎,從缺,,
100,22,出版獎,最佳傳統歌樂專輯獎,恆春民謠再唱起,田園樂府樂團,田園樂府樂團
100,22,出版獎,最佳傳統歌樂專輯獎,玉山禮讚,大吉祥整合行銷有限公司,大吉祥整合行銷有限公司
100,22,出版獎,最佳傳統歌樂專輯獎,霧來了！世界的聲脈,參拾柒度製作有限公司,參拾柒度製作有限公司
100,22,出版獎,最佳傳統歌樂專輯獎,尋回失落的印記,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司
100,22,出版獎,最佳古典音樂專輯獎,陳毓襄 珍愛的蕭邦,奇美發展文化事業有限公司,奇美發展文化事業有限公司
100,22,出版獎,最佳古典音樂專輯獎,弦樂四重奏 II,奇美發展文化事業有限公司,奇美發展文化事業有限公司
100,22,出版獎,最佳古典音樂專輯獎,你知道的‧陳威稜與單簧管的6個漫遊,雅砌音樂有限公司,雅砌音樂有限公司
100,22,出版獎,最佳古典音樂專輯獎,酷幻奇境‧蔡佳璇大鍵琴故事演奏專輯,雅砌音樂有限公司,雅砌音樂有限公司
100,22,出版獎,最佳古典音樂專輯獎,琴韻情聲─林昭亮演奏阿鏜小提琴曲集,黃鐘音樂文化股份有限公司,黃鐘音樂文化股份有限公司
100,22,出版獎,最佳古典音樂專輯獎,前進的節奏,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司
100,22,出版獎,最佳兒童音樂專輯獎,幸福的孩子愛唱歌,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司
100,22,出版獎,最佳兒童音樂專輯獎,小樹的願望─兒童環保音樂專輯,靜思人文志業股份有限公司,靜思人文志業股份有限公司
100,22,出版獎,最佳兒童音樂專輯獎,月光華華,吉聲影視音有限公司,吉聲影視音有限公司
100,22,出版獎,最佳宗教音樂專輯獎,至好朋友就是耶穌,福爾摩沙合唱團,福爾摩沙合唱團
100,22,出版獎,最佳宗教音樂專輯獎,感恩之歌,財團法人聖保祿孝女會附設上智文化事業,財團法人聖保祿孝女會附設上智文化事業
100,22,出版獎,最佳宗教音樂專輯獎,闖,財團法人基督教台灣信義會,財團法人基督教台灣信義會
100,22,出版獎,最佳宗教音樂專輯獎,平安歌,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司
100,22,出版獎,最佳宗教音樂專輯獎,祈菩行,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司
100,22,出版獎,最佳跨界音樂專輯獎,失落的環節The Missing Link,世界軌跡樂團,世界軌跡樂團
100,22,出版獎,最佳跨界音樂專輯獎,我一直聽見自己的笙音,大熊星國際多媒體股份有限公司,大熊星國際多媒體股份有限公司
100,22,出版獎,最佳跨界音樂專輯獎,陌生人的華爾滋,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司
100,22,出版獎,最佳跨界音樂專輯獎,春風,風潮音樂國際股份有限公司,風潮音樂國際股份有限公司
100,22,出版獎,最佳跨界音樂專輯獎,一蕊香蘭,諦聽文化事業有限公司,諦聽文化事業有限公司
100,22,個人獎,最佳作曲人獎,Anouar 阿努瓦《失落的環節The Missing Link》,吳馬丁Martijn Vanbuel,世界軌跡樂團
100,22,個人獎,最佳作曲人獎,紅色狂想曲 向＜四季紅＞致意《泥偶糖果激情古典樂》,盧盈豪,佳音工坊音樂事業有限公司
100,22,個人獎,最佳作曲人獎,雨夜花主題變奏曲《琴韻情聲─林昭亮演奏阿鏜小提琴曲集》,阿鏜（黃輔棠）,黃鐘音樂文化股份有限公司
100,22,個人獎,最佳作曲人獎,盛唐時期《鑑真大和尚 動畫電影原聲帶》,三寶,財團法人慈濟傳播人文志業基金會
100,22,個人獎,最佳作曲人獎,射日《前進的節奏》,張瓊櫻,風潮音樂國際股份有限公司
100,22,個人獎,最佳作詞人獎,春秋配《我一直聽見自己的笙音》,林夕,大熊星國際多媒體股份有限公司
100,22,個人獎,最佳作詞人獎,牽囝的手摸心肝《對話在傳統與流行間─戲新曲念舊調》,李靜芳,李靜芳戲曲工作室
100,22,個人獎,最佳作詞人獎,盼望《奉獻》,席慕蓉,上揚國際股份有限公司
100,22,個人獎,最佳編曲人獎,Romanian Quick Dance羅馬尼亞快舞《失落的環節The Missing Link》,吳馬丁Martijn Vanbuel、彭郁雯,世界軌跡樂團
100,22,個人獎,最佳編曲人獎,春秋配《我一直聽見自己的笙音》,Mac Chew,大熊星國際多媒體股份有限公司
100,22,個人獎,最佳編曲人獎,塔玲瓏《我一直聽見自己的笙音》,陳彤,大熊星國際多媒體股份有限公司
100,22,個人獎,最佳編曲人獎,笑傲江湖三十六簧鍵笙協奏曲《臺灣四季》,蘇文慶,繆斯藝術文化有限公司
100,22,個人獎,最佳專輯製作人獎,失落的環節The Missing Link,吳馬丁Martijn Vanbuel,世界軌跡樂團
100,22,個人獎,最佳專輯製作人獎,傾聽大地的聲音,馬修 連恩,種子音樂有限公司
100,22,個人獎,最佳專輯製作人獎,你知道的‧陳威稜與單簧管的6個漫遊,饒瑞舜、陳威稜,雅砌音樂有限公司
100,22,個人獎,最佳專輯製作人獎,琴韻情聲─林昭亮演奏阿鏜小提琴曲集,黃輔棠,黃鐘音樂文化股份有限公司
100,22,個人獎,最佳專輯製作人獎,臺灣四季,蘇文慶,繆斯藝術文化有限公司
100,22,個人獎,最佳傳統音樂詮釋獎,春の海,渡邊治子,綠芽企劃設計有限公司
100,22,個人獎,最佳傳統音樂詮釋獎,霧來了！世界的聲脈,布農山地傳統音樂團,參拾柒度製作有限公司
100,22,個人獎,最佳傳統音樂詮釋獎,尋回失落的印記,原舞者,風潮音樂國際股份有限公司
100,22,個人獎,最佳演唱獎,至好朋友就是耶穌,福爾摩沙合唱團,福爾摩沙合唱團
100,22,個人獎,最佳演唱獎,我的花園在微笑,閻奕格,普音文化事業股份有限公司
100,22,個人獎,最佳演唱獎,路 The Road,柯綠娃、喻越越,普音文化事業股份有限公司
100,22,個人獎,最佳演唱獎,Wandering in a Song 流＋轉,木樓合唱團,木樓合唱團
100,22,個人獎,最佳演唱獎,李文智琵琶地古樂團,李文智,凌軒企業社
100,22,個人獎,最佳演唱獎,春風,周文彬、游宜群,風潮音樂國際股份有限公司
100,22,個人獎,最佳演奏獎,失落的環節The Missing Link,吳馬丁Martijn Vanbuel、張宜蓁、若池敏弘、曾增譯,世界軌跡樂團
100,22,個人獎,最佳演奏獎,陳毓襄 珍愛的蕭邦,陳毓襄,奇美發展文化事業有限公司
100,22,個人獎,最佳演奏獎,弦樂四重奏 II,Borealis String Quartet,奇美發展文化事業有限公司
100,22,個人獎,最佳演奏獎,你知道的‧陳威稜與單簧管的6個漫遊,陳威稜,雅砌音樂有限公司
100,22,個人獎,最佳演奏獎,前進的節奏,朱宗慶打擊樂團,風潮音樂國際股份有限公司
100,22,技術類個人獎,最佳專輯包裝獎,春?海,黃貞綺、蔡依倫,綠芽企劃設計有限公司
100,22,技術類個人獎,最佳專輯包裝獎,霧來了！世界的聲脈,陳皇旭,參拾柒度製作有限公司
100,22,技術類個人獎,最佳專輯包裝獎,心花兒開滿年,高鵬翔,繆斯藝術文化有限公司
100,22,技術類個人獎,最佳專輯包裝獎,J. Brahms 《Lieder Without Words》,謝青穎,歐陽伶宜大提琴音樂方程式
100,22,技術類個人獎,最佳專輯包裝獎,臺灣四季,高鵬翔,繆斯藝術文化有限公司
100,22,評審團獎,評審團獎,送客傳家寶,賴碧霞女士（演唱者）,
100,22,特別貢獻獎,特別貢獻獎,,蕭泰然先生,
