年度,屆別,獎項類別,獎項名稱,得獎作品,得獎單位/者,報名單位,演唱者/演奏者/導演/錄音團隊
109,31,演唱類出版獎,年度專輯獎,kinakaian 母親的舌頭,十一音像有限公司(十一音樂),十一音像有限公司(十一音樂),阿爆（阿仍仍）
109,31,演唱類出版獎,年度歌曲獎,Thank You 感謝《kinakaian 母親的舌頭》,十一音像有限公司(十一音樂),十一音像有限公司(十一音樂),阿爆（阿仍仍）
109,31,演唱類出版獎,最佳國語專輯獎,愛的呼喚,台灣索尼音樂娛樂股份有限公司,台灣索尼音樂娛樂股份有限公司,王若琳
109,31,演唱類出版獎,最佳台語專輯獎,裝潢,禾廣娛樂股份有限公司,禾廣娛樂股份有限公司,濁水溪公社
109,31,演唱類出版獎,最佳客語專輯獎,戇仔船/THE SHIP OF FOOLS,山下民謠有限公司,山下民謠有限公司,米莎
109,31,演唱類出版獎,最佳原住民語專輯獎,kinakaian 母親的舌頭,十一音像有限公司(十一音樂),十一音像有限公司(十一音樂),阿爆（阿仍仍）
109,31,演唱類出版獎,最佳音樂錄影帶獎,紅《我肯定在幾百年前就說過愛你》,相知國際股份有限公司,相知國際股份有限公司,殷振豪
109,31,演唱類個人獎,最佳作曲人獎,昏你 feat.乱彈阿翔(The Wedding feat.Luantan Ascent)《真真(Jen Jen)》,余佩真,亞神音樂娛樂股份有限公司,余佩真
109,31,演唱類個人獎,最佳作詞人獎,路《路》,謝銘祐,三川娛樂有限公司,謝銘祐
109,31,演唱類個人獎,最佳編曲人獎,戰《失物之城》,KOBUDO 古武道,雪人有限公司,許哲珮
109,31,演唱類個人獎,最佳專輯製作人獎,Juvenile A,陳珊妮,何樂音樂有限公司,陳珊妮
109,31,演唱類個人獎,最佳單曲製作人獎,路《路》,謝銘祐,三川娛樂有限公司,謝銘祐
109,31,演唱類個人獎,最佳國語男歌手獎,太空人,吳青峰,環球國際唱片股份有限公司,吳青峰
109,31,演唱類個人獎,最佳國語女歌手獎,藏著並不等於遺忘,魏如萱,台灣索尼音樂娛樂股份有限公司,魏如萱
109,31,演唱類個人獎,最佳台語男歌手獎,善良的歹人,蘇明淵,紅豆娛樂股份有限公司,蘇明淵
109,31,演唱類個人獎,最佳台語女歌手獎,朱海君 花開的時/Touch a star,朱海君,豪聲唱片有限公司,朱海君
109,31,演唱類個人獎,最佳客語歌手獎,戇仔船/THE SHIP OF FOOLS,米莎,山下民謠有限公司,米莎
109,31,演唱類個人獎,最佳原住民語歌手獎,盧靜子 尋樂,盧靜子,參拾柒度製作有限公司,盧靜子
109,31,演唱類個人獎,最佳樂團獎,無名英雄,滅火器:楊大正 Sam、鄭宇辰 ORio、陳敬元 JC、柯志勛 KG,火氣音樂股份有限公司,滅火器
109,31,演唱類個人獎,最佳演唱組合獎,作弊人生,Chick en Chicks:蔡奇龍、 Kartina Flavia Hai,複製貼上音樂製作有限公司,Chick en Chicks
109,31,演唱類個人獎,最佳新人獎,房間裡的大象,持修,野聲音娛樂有限公司,持修
109,31,演奏類出版獎,演奏類最佳專輯獎,Ciao Bella,好有感覺音樂事業有限公司,好有感覺音樂事業有限公司,蘇聖育、林冠良、曾增譯
109,31,演奏類個人獎,演奏類最佳專輯製作人獎,"Flow, Gesture, and Spaces",非／密閉空間,派樂黛唱片有限公司,非／密閉空間
109,31,演奏類個人獎,演奏類最佳作曲人獎,Okinawa《Ken》,大竹研,山下民謠有限公司,大竹研
109,31,技術類個人獎,最佳裝幀設計獎,海光之聲,蘆葦花開音樂藝術文化工作室,蘆葦花開音樂藝術文化工作室,何佳興
109,31,技術類出版獎,最佳演唱錄音專輯獎,少年 The Younger Me,滾石國際音樂股份有限公司,滾石國際音樂股份有限公司,主要錄音人員：鄧緯聖、洪浚程／主要混音人員：林正忠、王俊傑(小K)／主要母帶後製人員：孫仲舒
109,31,技術類出版獎,最佳演奏錄音專輯獎,鍾興民作品集 Initial Value,果核有限公司,果核有限公司,主要錄音人員：李岳松、王家棟／主要混音人員：鍾興民／主要母帶後製人員：Bernie Grundman
109,31,評審團獎,評審團獎,摩天動物園,G.E.M.鄧紫棋,,
109,31,特別貢獻獎,特別貢獻獎,,黃瑞豐,,
